ABA|false|INH|1806|2|0|2
ABX|false|IDX|1AE5|2|0|2
ABY|false|IDX|19ED|2|0|2
ADCA|true|IMM|89|1|1|2
ADCA|true|DIR|99|1|1|2
ADCA|true|EXT|B9|1|2|3
ADCA|true|IDX|A9|1|1|2
ADCA|true|IDX1|A9|1|2|3
ADCA|true|IDX2|A9|1|3|4
ADCA|true|[D,IDX]|A9|1|1|2
ADCA|true|[IDX2]|A9|1|3|4
ADCB|true|IMM|C9|1|1|2
ADCB|true|DIR|D9|1|1|2
ADCB|true|EXT|F9|1|2|3
ADCB|true|IDX|E9|1|1|2
ADCB|true|IDX1|E9|1|2|3
ADCB|true|IDX2|E9|1|3|4
ADCB|true|[D,IDX]|E9|1|1|2
ADCB|true|[IDX2]|E9|1|3|4
ADDA|true|IMM|8B|1|1|2
ADDA|true|DIR|9B|1|1|2
ADDA|true|EXT|BB|1|2|3
ADDA|true|IDX|AB|1|1|2
ADDA|true|IDX1|AB|1|2|3
ADDA|true|IDX2|AB|1|3|4
ADDA|true|[D,IDX]|AB|1|1|2
ADDA|true|[IDX2]|AB|1|3|4
ADDB|true|IMM|CB|1|1|2
ADDB|true|DIR|DB|1|1|2
ADDB|true|EXT|FB|1|2|3
ADDB|true|IDX|EB|1|1|2
ADDB|true|IDX1|EB|1|2|3
ADDB|true|IDX2|EB|1|3|4
ADDB|true|[D,IDX]|EB|1|1|2
ADDB|true|[IDX2]|EB|1|3|4
ADDD|true|IMM|C3|1|2|3
ADDD|true|DIR|D3|1|1|2
ADDD|true|EXT|F3|1|2|3
ADDD|true|IDX|E3|1|1|2
ADDD|true|IDX1|E3|1|2|3
ADDD|true|IDX2|E3|1|3|4
ADDD|true|[D,IDX]|E3|1|1|2
ADDD|true|[IDX2]|E3|1|3|4
ANDA|true|IMM|84|1|1|2
ANDA|true|DIR|94|1|1|2
ANDA|true|EXT|B4|1|2|3
ANDA|true|IDX|A4|1|1|2
ANDA|true|IDX1|A4|1|2|3
ANDA|true|IDX2|A4|1|3|4
ANDA|true|[D,IDX]|A4|1|1|2
ANDA|true|[IDX2]|A4|1|3|4
ANDB|true|IMM|C4|1|1|2
ANDB|true|DIR|DB|1|1|2
ANDB|true|EXT|F4|1|2|3
ANDB|true|IDX|E4|1|1|2
ANDB|true|IDX1|E4|1|2|3
ANDB|true|IDX2|E4|1|3|4
ANDB|true|[D,IDX]|E4|1|1|2
ANDB|true|[IDX2]|E4|1|3|4
ANDCC|true|IMM|10|1|1|2
ASL|true|EXT|78|1|2|3
ASL|true|IDX|68|1|1|2
ASL|true|IDX1|68|1|2|3
ASL|true|IDX2|68|1|3|4
